symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason,days_held,signal_type,quality,delta,theta_cost,iv_crush
NVDA,2020-04-30,2020-05-08,7.279262065887451,7.782842636108398,0.13095740172998238,-22.042344892319253,-23.122798179371706,Stop Loss,8,trend,1,0.71,0.8735114479064942,1.0918893098831177
SMCI,2020-05-01,2020-05-08,2.2230000495910645,2.5420000553131104,0.4177463764891653,-15.147692863956456,-16.311516013941745,Stop Loss,7,trend,1,0.715,0.23341500520706177,0.33345000743865966
SMCI,2020-05-12,2020-05-13,2.3980000019073486,2.3289999961853027,0.5355380151764207,-24.838788895892957,-19.341534763427227,Stop Loss,1,trend,2,0.645,0.03597000002861023,0.3597000002861023
SMCI,2020-05-13,2020-05-18,2.3289999961853027,2.440999984741211,0.35338273526400477,-16.887277680486452,-20.518463159364547,Stop Loss,5,trend,1,0.625,0.1746749997138977,0.3493499994277954
NVDA,2020-05-08,2020-05-26,7.782842636108398,8.68465518951416,0.1100043794158527,-22.097484127042748,-25.810392319378423,Stop Loss,18,trend,1,0.66,2.521641014099121,0.0
MARA,2020-05-12,2020-05-28,0.6200000047683716,0.7300000190734863,2.7617637667476953,-29.30507289662409,-17.114514576892585,Stop Loss,16,trend,3,0.7200000000000001,0.178560001373291,0.0
SMCI,2020-05-18,2020-06-01,2.440999984741211,2.6549999713897705,0.32794429489766624,-12.874109370259651,-16.082343634135995,Stop Loss,14,trend,1,0.6799999999999999,0.5126099967956543,0.0
RIOT,2020-05-04,2020-06-03,1.1200000047683716,2.4100000858306885,0.808690613775512,0.028307807819657662,0.03125401466551192,Expiration,30,trend,1,0.6,0.7560000032186508,0.0
SMCI,2020-06-01,2020-06-05,2.6549999713897705,2.8610000610351562,0.5384631297064998,-22.85506346048824,-15.986814644235025,Stop Loss,4,trend,3,0.78,0.15929999828338623,0.3982499957084656
NVDA,2020-05-29,2020-06-08,8.841806411743164,8.7755765914917,0.1655714323649479,-24.130500756752205,-16.483139214691004,Stop Loss,10,trend,3,0.65,1.3262709617614745,0.0
RIOT,2020-06-03,2020-06-11,2.4100000858306885,2.180000066757202,0.2966172262520747,-12.397117559588022,-17.34232385690414,Stop Loss,8,trend,1,0.46,0.2892000102996826,0.0
MARA,2020-05-28,2020-06-12,0.7300000190734863,0.9300000071525574,1.0027058315313038,-14.744790789847409,-20.143837190162,Stop Loss,15,trend,1,0.675,0.1642500042915344,0.10950000286102295
MARA,2020-06-12,2020-06-19,0.9300000071525574,0.8399999737739563,1.3247546363435876,-20.248876980619933,-16.435485663448723,Stop Loss,7,trend,3,0.515,0.09765000075101853,0.0
SMCI,2020-06-05,2020-06-22,2.8610000610351562,3.1029999256134033,0.47841601410621853,-35.032305205205915,-25.59441103862164,Stop Loss,17,breakout,3,0.7150000000000001,0.8754660186767578,0.0
SMCI,2020-06-22,2020-06-23,3.1029999256134033,3.127000093460083,0.262150828580421,-13.83277853895654,-17.004991692230263,Stop Loss,1,trend,2,0.645,0.04654499888420105,0.4654499888420105
RIOT,2020-06-11,2020-06-24,2.180000066757202,2.369999885559082,0.2915920239562946,-9.263882592984775,-14.57340032895201,Exit Signal,13,trend,1,0.685,0.42510001301765443,0.0
SMCI,2020-06-23,2020-06-26,3.127000093460083,2.812000036239624,0.2512914681870496,-19.908190801566644,-25.33530613836709,Stop Loss,3,trend,2,0.485,0.14071500420570374,0.4690500140190124
SMCI,2020-06-26,2020-07-02,2.812000036239624,2.747999906539917,0.17246189861133013,-12.802883037207414,-26.399718323544352,Stop Loss,6,trend,1,0.62,0.25308000326156616,0.4218000054359436
