entry_date,exit_date,symbol,strategy,quality,shares,entry_price,exit_price,leveraged_value,exit_value,pnl,pnl_pct,days_held,exit_reason
2024-10-28,2024-11-11,NVDA,TREND_FOLLOW,3,9128.697246088734,140.479736328125,145.2183380126953,1282396.9821498261,1325654.2422980745,43257.2601482484,3.373156733083651,14,TIME_EXIT
2024-11-08,2024-11-22,TSLA,TREND_FOLLOW,3,4178.135166924477,321.2200012207031,352.55999755859375,1342100.583419743,1473043.3242503682,130942.74083062517,9.756551964009745,14,TIME_EXIT
2024-11-11,2024-11-25,NVDA,PULLBACK,3,9392.053367225739,145.2183380126953,135.9810028076172,1363898.3805150604,1277140.8352980136,-86757.54521704675,-6.360997744148928,14,TIME_EXIT
2024-11-22,2024-12-06,TSLA,TREND_FOLLOW,3,4258.565820437684,352.55999755859375,389.2200012207031,1501399.9552566207,1657518.9938292,156119.0385725794,10.398231199220689,14,TIME_EXIT
2024-11-22,2024-12-06,PLTR,TREND_FOLLOW,3,12832.478554342653,64.3499984741211,76.33999633789062,825769.9753911414,979631.3658445781,153861.39045343676,18.632475754589823,14,TIME_EXIT
2024-12-06,2024-12-09,COIN,TREND_FOLLOW,3,2083.1141997859154,343.6199951171875,310.5199890136719,715799.6911589801,646848.5984317464,-68951.09272723377,-9.63273574700658,3,STOP_LOSS
2024-12-06,2024-12-20,TSLA,TREND_FOLLOW,3,6079.543608633087,389.2200012207031,421.05999755859375,2366279.9707734883,2559852.617008412,193572.6462349235,8.18046252454432,14,TIME_EXIT
2024-12-06,2024-12-20,PLTR,TREND_FOLLOW,3,17048.127408403532,76.33999633789062,80.55000305175781,1301453.9839254185,1373226.7147736605,71772.73084824206,5.514811259923508,14,TIME_EXIT
2024-12-24,2024-12-30,TSLA,TREND_FOLLOW,3,3078.162479726948,462.2799987792969,417.4100036621094,1422972.947370651,1284855.811935393,-138117.13543525804,-9.70623761263128,6,STOP_LOSS
2024-12-31,2025-01-02,TSLA,PULLBACK,3,3138.8450413549413,403.8399963378906,379.2799987792969,1267591.1700059855,1190501.1434535042,-77090.02655248134,-6.081615932376472,2,RSI_SELL
2024-12-20,2025-01-03,PLTR,TREND_FOLLOW,3,32119.47166546322,80.55000305175781,79.88999938964844,2587223.540673911,2566024.571749687,-21198.96892422391,-0.8193713682236392,14,TIME_EXIT
2025-01-03,2025-01-07,TSLA,PULLBACK,3,4360.874749514633,410.44000244140625,394.3599853515625,1789877.4428374525,1719754.5023385894,-70122.94049886311,-3.917750948785566,4,RSI_SELL
2025-01-03,2025-01-07,PLTR,TREND_FOLLOW,3,12322.350745795025,79.88999938964844,69.98999786376953,984432.5935605986,862441.3023748128,-121991.29118578578,-12.392041058347626,4,STOP_LOSS
2025-01-02,2025-01-16,NET,PULLBACK,3,10492.845926141434,112.54000091552734,114.81999969482422,1180864.8901344442,1204788.566037397,23923.675902952673,2.025945229028607,14,TIME_EXIT
