date,equity,cash,positions,peak,drawdown
2021-11-29,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-11-30,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-01,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-02,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-03,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-06,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-07,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-08,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-09,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-10,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-13,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-14,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-15,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-16,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-17,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-20,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-21,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-22,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-23,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-27,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-28,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-29,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-30,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2021-12-31,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-03,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-04,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-05,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
2022-01-06,8676.72502949184,8676.72502949184,0,10074.818123832021,-13.87710504701804
