date,equity,peak,dd
2020-11-18,18390.51643354929,20410.197602346776,-9.895451323632768
2020-11-19,18286.17936813634,20410.197602346776,-10.406651986388479
2020-11-20,19155.71680920844,20410.197602346776,-6.1463432034293275
2020-11-21,19720.164729076194,20410.197602346776,-3.3808240699798113
2020-11-22,19726.21342527819,20410.197602346776,-3.3511884127468727
2020-11-23,20428.272312112105,20428.272312112105,0.0
2020-11-24,20680.136151363986,20680.136151363986,0.0
2020-11-25,20091.07183256962,20680.136151363986,-2.848454741703969
2020-11-26,18754.28247153505,20680.136151363986,-9.312577372474953
2020-11-27,18736.61104879726,20680.136151363986,-9.398028563939313
2020-11-28,19539.266438907118,20680.136151363986,-5.516741785965565
2020-11-29,20063.197864033405,20680.136151363986,-2.9832409362057772
2020-11-30,21145.630473046247,21145.630473046247,0.0
2020-12-01,20259.280300537564,21145.630473046247,-4.191646939250588
2020-12-02,21004.642850435725,21145.630473046247,-0.6667458924444725
2020-12-03,21635.180980386478,21635.180980386478,0.0
2020-12-04,20227.872286075937,21635.180980386478,-6.504723466775462
2020-12-05,20881.723480020042,21635.180980386478,-3.4825569568818855
2020-12-06,20874.955180901037,21635.180980386478,-3.5138407216220138
2020-12-07,20672.84735842751,21635.180980386478,-4.448003568037538
2020-12-08,19850.895167475886,21635.180980386478,-8.247149929220136
2020-12-09,19924.11147196958,21635.180980386478,-7.9087367467278415
2020-12-10,19629.246882540814,21635.180980386478,-9.27163077426603
2020-12-11,19359.246789107783,21635.180980386478,-10.519598580395323
2020-12-12,19930.063989754017,21635.180980386478,-7.881223606025051
2020-12-13,20348.424943777973,21635.180980386478,-5.947516860501527
2020-12-14,20327.23896391547,21635.180980386478,-6.0454406073918685
2020-12-15,20421.739200421373,21635.180980386478,-5.608650933242294
2020-12-16,22022.792405907778,22022.792405907778,0.0
2020-12-17,22930.199423006587,22930.199423006587,0.0
2020-12-18,23255.296468639008,23255.296468639008,0.0
2020-12-19,23713.90077766437,23713.90077766437,0.0
2020-12-20,23248.996684279857,23713.90077766437,-1.9604707708923073
2020-12-21,22540.037306618262,23713.90077766437,-4.950107036594106
2020-12-22,23378.069970371835,23713.90077766437,-1.4161769944185971
2020-12-23,22475.810436480984,23713.90077766437,-5.220947632325077
2020-12-24,23078.349678025334,23713.90077766437,-2.68007826126037
2020-12-25,23767.606456923473,23767.606456923473,0.0
2020-12-26,24861.20701958996,24861.20701958996,0.0
2020-12-27,25347.700686327742,25347.700686327742,0.0
2020-12-28,26227.472639359097,26227.472639359097,0.0
2020-12-29,26349.243012780986,26349.243012780986,0.0
2020-12-30,27202.806324382233,27202.806324382233,0.0
2020-12-31,27076.327022982186,27202.806324382233,-0.4649494610660116
2021-01-01,27120.043135253884,27202.806324382233,-0.30424504053527485
2021-01-02,28801.842523985782,28801.842523985782,0.0
2021-01-03,31812.16708106664,31812.16708106664,0.0
2021-01-04,32277.07652920379,32277.07652920379,0.0
2021-01-05,33788.975377437026,33788.975377437026,0.0
2021-01-06,36189.771529863356,36189.771529863356,0.0
2021-01-07,37341.24127891305,37341.24127891305,0.0
2021-01-08,37842.77387975277,37842.77387975277,0.0
2021-01-09,38331.96721351353,38331.96721351353,0.0
2021-01-10,37423.67047603991,38331.96721351353,-2.3695541958864426
2021-01-11,34422.89883246053,38331.96721351353,-10.197933122709395
2021-01-12,37795.33368724553,38331.96721351353,-1.3999634385547943
2021-01-13,39526.95385746524,39526.95385746524,0.0
2021-01-14,39175.69897668572,39526.95385746524,-0.8886464715853073
2021-01-15,38192.99164560107,39526.95385746524,-3.3748166293675395
2021-01-16,38820.126493064294,39526.95385746524,-1.7882161295549754
2021-01-17,40277.35783139082,40277.35783139082,0.0
2021-01-18,40709.19604227621,40709.19604227621,0.0
2021-01-19,40830.60073744651,40830.60073744651,0.0
2021-01-20,41040.00639006391,41040.00639006391,0.0
2021-01-21,34181.174537697865,41040.00639006391,-16.71255064430647
2021-01-22,38081.90431796729,41040.00639006391,-7.2078499305809025
2021-01-23,39749.77931523948,41040.00639006391,-3.1438276655259
2021-01-24,39501.14494834518,41040.00639006391,-3.749661798520814
2021-01-25,39092.56242809159,41040.00639006391,-4.74523308662011
2021-01-26,39250.0267376893,41040.00639006391,-4.361548181454406
2021-01-27,36264.560479337,41040.00639006391,-11.636074968748247
2021-01-28,38730.94590952725,41040.00639006391,-5.626364817271814
2021-01-29,38670.301074239775,41040.00639006391,-5.774134860753471
2021-01-30,38860.970130477916,41040.00639006391,-5.309541716137629
2021-01-31,38467.094937084,41040.00639006391,-6.269276443394574
2021-02-01,40267.33148300586,41040.00639006391,-1.8827358351608796
2021-02-02,44059.0753043438,44059.0753043438,0.0
2021-02-03,47059.984072628635,47059.984072628635,0.0
2021-02-04,48830.082023394425,48830.082023394425,0.0
2021-02-05,50784.55175742161,50784.55175742161,0.0
2021-02-06,48523.21829132919,50784.55175742161,-4.452797923458971
2021-02-07,49801.6192323054,50784.55175742161,-1.9354951281470418
2021-02-08,57206.76558350096,57206.76558350096,0.0
2021-02-09,57597.54139804015,57597.54139804015,0.0
2021-02-10,56771.39033617865,57597.54139804015,-1.4343512618919017
2021-02-11,58268.40448193154,58268.40448193154,0.0
2021-02-12,58981.41459608518,58981.41459608518,0.0
2021-02-13,58441.980333326974,58981.41459608518,-0.914583460658491
2021-02-14,58821.89405532005,58981.41459608518,-0.27045899434178394
2021-02-15,58223.27895848884,58981.41459608518,-1.2853805606192843
2021-02-16,58635.844774994825,58981.41459608518,-0.5858961224597251
2021-02-17,60511.183065481775,60511.183065481775,0.0
2021-02-18,61561.201418598976,61561.201418598976,0.0
2021-02-19,63689.78450474067,63689.78450474067,0.0
2021-02-20,63209.1545249517,63689.78450474067,-0.7546421824573738
2021-02-21,64054.35640999451,64054.35640999451,0.0
2021-02-22,60461.12419378062,64054.35640999451,-5.609660946734967
2021-02-23,55362.33047082739,64054.35640999451,-13.569765471581388
2021-02-24,58777.632712568986,64054.35640999451,-8.237884186441041
2021-02-25,52616.02896426275,64054.35640999451,-17.857220159263075
2021-02-26,51962.24982221463,64054.35640999451,-18.877883200295685
2021-02-27,51787.56319492479,64054.35640999451,-19.15059943238413
2021-02-28,52916.55656554265,64054.35640999451,-17.388044262222905
2021-03-01,56726.3147355799,64054.35640999451,-11.440348611903623
2021-03-02,54854.49022018916,64054.35640999451,-14.362592500218888
2021-03-03,56043.83304209512,64054.35640999451,-12.505821331848546
2021-03-04,53814.072044383756,64054.35640999451,-15.986866373405546
2021-03-05,54166.899764530615,64054.35640999451,-15.436040887175528
2021-03-06,54359.07065595206,64054.35640999451,-15.136028675373083
2021-03-07,55373.939782006775,64054.35640999451,-13.551641316051551
2021-03-08,55503.440540182215,64054.35640999451,-13.349468090944832
2021-03-09,66325.56570444275,66325.56570444275,0.0
2021-03-10,66122.274190103,66325.56570444275,-0.3065055113825251
2021-03-11,77599.11544994867,77599.11544994867,0.0
2021-03-12,74637.0375297244,77599.11544994867,-3.817154233072163
2021-03-13,78047.31568330627,78047.31568330627,0.0
2021-03-14,75551.43864494844,78047.31568330627,-3.197902473014421
2021-03-15,73224.7905062894,78047.31568330627,-6.178976348892381
2021-03-16,72548.71910174144,78047.31568330627,-7.045209093258966
2021-03-17,74792.28961134196,78047.31568330627,-4.1705804273554765
2021-03-18,74299.70953878571,78047.31568330627,-4.801710490245779
2021-03-19,74496.02320036944,78047.31568330627,-4.5501788906449505
2021-03-20,74493.71893347848,78047.31568330627,-4.553131288009022
2021-03-21,74334.72993969082,78047.31568330627,-4.756839759460864
2021-03-22,72994.39544900945,78047.31568330627,-6.4741755562742584
2021-03-23,71668.22653548764,78047.31568330627,-8.1733613667165
2021-03-24,69222.18155764791,78047.31568330627,-11.307415313895266
2021-03-25,66693.425730377,78047.31568330627,-14.547444525831116
2021-03-26,66693.425730377,78047.31568330627,-14.547444525831116
2021-03-27,69137.45274387463,78047.31568330627,-11.415976143991061
2021-03-28,70646.7943090038,78047.31568330627,-9.482095968978188
2021-03-29,71486.16485444749,78047.31568330627,-8.406632273532708
2021-03-30,72476.39191048351,78047.31568330627,-7.137880046288816
2021-03-31,72803.55804425986,78047.31568330627,-6.7186905701204145
2021-04-01,72359.17064796008,78047.31568330627,-7.288072607682055
2021-04-02,73534.14851429855,78047.31568330627,-5.782603962089952
2021-04-03,76474.15471519034,78047.31568330627,-2.0156503197360043
2021-04-04,79208.76006890982,79208.76006890982,0.0
2021-04-05,77844.71503263009,79208.76006890982,-1.7220886112761256
2021-04-06,80177.34296173765,80177.34296173765,0.0
2021-04-07,79976.02682598951,80177.34296173765,-0.2510885598244586
2021-04-08,82698.3453588147,82698.3453588147,0.0
2021-04-09,83260.46419708438,83260.46419708438,0.0
2021-04-10,83670.03242506957,83670.03242506957,0.0
2021-04-11,85151.45823713692,85151.45823713692,0.0
2021-04-12,85413.34969042138,85413.34969042138,0.0
2021-04-13,87378.93647495293,87378.93647495293,0.0
2021-04-14,87369.77752649318,87378.93647495293,-0.010481872209986453
2021-04-15,89502.86046065835,89502.86046065835,0.0
2021-04-16,85545.14390605825,89502.86046065835,-4.421888344383975
2021-04-17,84103.90724091342,89502.86046065835,-6.032157175711808
