date,equity,positions,cummax,drawdown
2020-07-22,89481.248444698,3,89481.248444698,0.0
2020-07-23,84669.93737673474,3,89481.248444698,-5.3768930939053465
2020-07-24,87193.78842360969,3,89481.248444698,-2.5563568466548876
2020-07-27,88344.52659524648,2,89481.248444698,-1.2703464348220823
2020-07-28,86496.92963130114,2,89481.248444698,-3.3351331874199834
2020-07-29,91873.74858509754,2,91873.74858509754,0.0
2020-07-30,92425.04490536611,2,92425.04490536611,0.0
2020-07-31,90815.41800301056,2,92425.04490536611,-1.7415484125581386
2020-08-03,94707.43250473583,2,94707.43250473583,0.0
2020-08-04,95784.60309624177,2,95784.60309624177,0.0
2020-08-05,96005.03152186082,2,96005.03152186082,0.0
2020-08-06,96363.45638422947,2,96363.45638422947,0.0
2020-08-07,94676.47577176911,2,96363.45638422947,-1.750643527909455
2020-08-10,93543.28997923459,2,96363.45638422947,-2.926593244798168
2020-08-11,89009.24506831444,2,96363.45638422947,-7.6317429779517525
2020-08-12,95045.44238857458,2,96363.45638422947,-1.3677529274163702
2020-08-13,94619.2703903644,2,96363.45638422947,-1.8100077138272115
2020-08-14,94878.95548212867,2,96363.45638422947,-1.5405226813177586
2020-08-17,99143.66551102023,2,99143.66551102023,0.0
2020-08-18,99347.27824705516,3,99347.27824705516,0.0
2020-08-19,98337.50967816448,3,99347.27824705516,-1.0164028513993135
2020-08-20,101616.51291068111,3,101616.51291068111,0.0
2020-08-21,105438.6206482725,3,105438.6206482725,0.0
2020-08-24,104509.57487346654,3,105438.6206482725,-0.8811247426169526
2020-08-25,104808.4232603631,2,105438.6206482725,-0.5976912292997882
2020-08-26,107339.7409043907,2,107339.7409043907,0.0
2020-08-27,108322.43090082008,2,108322.43090082008,0.0
2020-08-28,110075.65591699761,2,110075.65591699761,0.0
2020-08-31,116260.94483795759,2,116260.94483795759,0.0
2020-09-01,117047.69766749888,3,117047.69766749888,0.0
2020-09-02,116565.87436797007,3,117047.69766749888,-0.41164696882594254
2020-09-03,105556.80435737729,2,117047.69766749888,-9.817274102019624
2020-09-04,104469.67283478627,2,117047.69766749888,-10.746067700061399
2020-09-08,89993.95211062604,2,117047.69766749888,-23.11343674074246
2020-09-09,89993.95211062604,0,117047.69766749888,-23.11343674074246
2020-09-10,88561.7201481816,2,117047.69766749888,-24.337067782604578
2020-09-11,87986.46505817454,2,117047.69766749888,-24.828538440695787
2020-09-14,91492.96263465422,1,117047.69766749888,-21.8327532639205
2020-09-15,95058.61518171585,2,117047.69766749888,-18.786428886664748
2020-09-16,91907.54932855298,2,117047.69766749888,-21.478550061157396
2020-09-17,89844.19763070659,2,117047.69766749888,-23.241379863848444
2020-09-18,90334.65938445521,2,117047.69766749888,-22.82235260955602
2020-09-21,92674.90184202598,2,117047.69766749888,-20.822960477795537
2020-09-22,92674.90184202598,0,117047.69766749888,-20.822960477795537
2020-09-23,92674.90184202598,0,117047.69766749888,-20.822960477795537
2020-09-24,92674.90184202598,0,117047.69766749888,-20.822960477795537
2020-09-25,92674.90184202598,0,117047.69766749888,-20.822960477795537
2020-09-28,92674.90184202598,0,117047.69766749888,-20.822960477795537
2020-09-29,92346.84718470463,1,117047.69766749888,-21.103234813693426
2020-09-30,93877.78301965135,1,117047.69766749888,-19.795275865798782
2020-10-01,96827.23621735505,1,117047.69766749888,-17.275402979377468
2020-10-02,90023.42048931174,2,117047.69766749888,-23.08826035600962
2020-10-05,93451.61626872266,2,117047.69766749888,-20.15937251991608
2020-10-06,93742.76611153738,1,117047.69766749888,-19.91062790672275
2020-10-07,94447.3771735881,1,117047.69766749888,-19.308641642924265
2020-10-08,93954.3910981157,2,117047.69766749888,-19.729825557940558
2020-10-09,91728.7414890099,2,117047.69766749888,-21.6313149963986
2020-10-12,93858.08168539043,2,117047.69766749888,-19.812107751135727
2020-10-13,94504.80844556185,2,117047.69766749888,-19.259575088760254
2020-10-14,94399.01998529882,3,117047.69766749888,-19.34995573047399
2020-10-15,92451.7300465774,3,117047.69766749888,-21.01362787228163
2020-10-16,91272.73371004127,3,117047.69766749888,-22.020906409178053
2020-10-19,88879.79158413288,3,117047.69766749888,-24.06532263742895
2020-10-20,88753.91167774951,2,117047.69766749888,-24.17286845754492
2020-10-21,88388.418244739,2,117047.69766749888,-24.48512870724993
2020-10-22,88049.75940842259,2,117047.69766749888,-24.77446275060588
2020-10-23,88470.37266977587,2,117047.69766749888,-24.41511073451742
2020-10-26,86900.64425717972,2,117047.69766749888,-25.756212220388008
2020-10-27,86900.64425717972,0,117047.69766749888,-25.756212220388008
2020-10-28,86900.64425717972,0,117047.69766749888,-25.756212220388008
2020-10-29,86900.64425717972,0,117047.69766749888,-25.756212220388008
2020-10-30,86900.64425717972,0,117047.69766749888,-25.756212220388008
2020-11-02,86900.64425717972,0,117047.69766749888,-25.756212220388008
2020-11-03,86900.64425717972,0,117047.69766749888,-25.756212220388008
2020-11-04,86900.64425717972,0,117047.69766749888,-25.756212220388008
2020-11-05,86900.64425717972,0,117047.69766749888,-25.756212220388008
2020-11-06,86900.64425717972,0,117047.69766749888,-25.756212220388008
2020-11-09,83010.4822803227,1,117047.69766749888,-29.079782059333436
2020-11-10,79414.84827178904,1,117047.69766749888,-32.15172117491338
2020-11-11,79414.84827178904,0,117047.69766749888,-32.15172117491338
2020-11-12,79414.84827178904,0,117047.69766749888,-32.15172117491338
2020-11-13,79414.84827178904,0,117047.69766749888,-32.15172117491338
2020-11-16,79414.84827178904,0,117047.69766749888,-32.15172117491338
2020-11-17,79169.19441341897,1,117047.69766749888,-32.361596177382815
2020-11-18,78642.27767796056,2,117047.69766749888,-32.8117688385788
2020-11-19,81274.57364669113,3,117047.69766749888,-30.562860042262084
2020-11-20,79261.86035475375,3,117047.69766749888,-32.282426793292906
2020-11-23,81403.36734398507,3,117047.69766749888,-30.452824817425967
2020-11-24,82371.66845001081,3,117047.69766749888,-29.625554289836074
2020-11-25,85104.8716781035,3,117047.69766749888,-27.290435118285185
2020-11-27,86062.47937002625,3,117047.69766749888,-26.472300536396133
2020-11-30,89195.24596349976,3,117047.69766749888,-23.79581338124263
2020-12-01,91069.72431440183,2,117047.69766749888,-22.19434800579633
2020-12-02,89802.4738545812,2,117047.69766749888,-23.27702667874259
2020-12-03,91877.78011139629,2,117047.69766749888,-21.503983468007696
2020-12-04,93258.10210151332,2,117047.69766749888,-20.324701843829025
2020-12-07,97970.49364315673,2,117047.69766749888,-16.298658072314563
2020-12-08,97862.25619826306,3,117047.69766749888,-16.391131010313863
2020-12-09,90702.023569091,3,117047.69766749888,-22.508494078413122
2020-12-10,94068.92196509622,3,117047.69766749888,-19.631975818677958
2020-12-11,92265.21038748485,3,117047.69766749888,-21.172981420287677
2020-12-14,97491.43254089258,3,117047.69766749888,-16.707945150839624
2020-12-15,95832.33037404517,3,117047.69766749888,-18.12540333234139
2020-12-16,93907.30610383378,3,117047.69766749888,-19.77005274328484
2020-12-17,99032.54493669105,3,117047.69766749888,-15.391291832141846
2020-12-18,100742.77975459139,3,117047.69766749888,-13.930148339376474
2020-12-21,100268.95925247246,3,117047.69766749888,-14.334958097757994
2020-12-22,98718.56765062011,2,117047.69766749888,-15.659539129891229
2020-12-23,100163.85564050302,2,117047.69766749888,-14.424753637579721
2020-12-24,100297.43260587976,2,117047.69766749888,-14.310631815417793
2020-12-28,97470.04673321302,2,117047.69766749888,-16.72621617035195
2020-12-29,97706.49608256957,1,117047.69766749888,-16.52420506371042
2020-12-30,100666.1812242309,1,117047.69766749888,-13.995590489787746
2020-12-31,101506.98491350641,2,117047.69766749888,-13.277247706434572
2021-01-04,104268.0483606219,2,117047.69766749888,-10.918326085473748
2021-01-05,105042.86355470009,2,117047.69766749888,-10.256360741841593
2021-01-06,107188.35257378354,1,117047.69766749888,-8.423356708581398
2021-01-07,113362.67591512369,1,117047.69766749888,-3.1483077632533627
2021-01-08,119939.98198376904,1,119939.98198376904,0.0
2021-01-11,113373.2821170179,1,119939.98198376904,-5.474988205050584
2021-01-12,117022.50947288144,1,119939.98198376904,-2.432443679441614
2021-01-13,117496.673545531,1,119939.98198376904,-2.0371092256531185
2021-01-14,115261.99301624774,2,119939.98198376904,-3.9002748626011607
2021-01-15,112090.33962123784,2,119939.98198376904,-6.544641938993672
2021-01-19,114513.29257954018,2,119939.98198376904,-4.5245041015290735
2021-01-20,116449.40605240292,2,119939.98198376904,-2.91026884749615
2021-01-21,118069.21170026003,2,119939.98198376904,-1.5597553481058384
2021-01-22,117566.10778328718,2,119939.98198376904,-1.9792184067553964
2021-01-25,119852.96874463923,2,119939.98198376904,-0.07254731715866472
2021-01-26,119059.21526290133,2,119939.98198376904,-0.7343395474137273
