symbol,entry_date,entry_price,shares,strategy,confidence,exit_date,exit_price,exit_reason,pnl,pnl_pct,days_held
GOOGL,2025-08-21,199.57150268554688,1063779,ML_ENSEMBLE,1.0033861967324247,2025-09-03,230.45388793945312,TAKE_PROFIT,32852032.903015137,0.15474346205913886,16
NET,2025-08-22,196.1699981689453,431439,ML_ENSEMBLE,0.9610790829669452,2025-09-08,217.9199981689453,TIME_EXIT,9383798.25,0.11087322324012303,17
AAPL,2025-08-27,230.49000549316406,695680,ML_ENSEMBLE,0.9430030937418963,2025-09-12,234.07000732421875,TIME_EXIT,2490535.673828125,0.015532134781266532,16
PLTR,2025-09-03,154.89999389648438,770709,ML_ENSEMBLE,0.9541461486957353,2025-09-18,176.97000122070312,TIME_EXIT,17009553.27484131,0.14247907161938017,15
MSFT,2025-09-08,498.20001220703125,511838,ML_ENSEMBLE,1.0081932612304925,2025-09-23,509.2300109863281,TIME_EXIT,5645572.515197754,0.02213969993784999,15
META,2025-09-10,751.4727783203125,154768,ML_ENSEMBLE,1.0136318606767418,2025-10-17,716.9199829101562,BACKTEST_END,-5347667.0400390625,-0.04598010254927458,37
AAPL,2025-09-12,234.07000732421875,548783,ML_ENSEMBLE,0.9301927405951154,2025-09-29,254.42999267578125,TIME_EXIT,11173213.841186523,0.08698246129142533,17
NVDA,2025-09-23,178.42999267578125,933215,ML_ENSEMBLE,0.949012401652165,2025-10-08,189.11000061035156,TIME_EXIT,9966743.604660034,0.05985545240690881,15
TSLA,2025-09-23,425.8500061035156,167972,ML_ENSEMBLE,0.8543967587945315,2025-10-08,438.69000244140625,TIME_EXIT,2156759.864868164,0.030151452750641686,15
AMD,2025-09-29,161.36000061035156,316401,ML_ENSEMBLE,1.0014721035933383,2025-10-08,235.55999755859375,TAKE_PROFIT,23476953.234420776,0.4598413278853329,15
GOOGL,2025-10-09,241.52999877929688,1542958,ML_ENSEMBLE,1.0175904866446752,2025-10-17,253.3000030517578,BACKTEST_END,18160622.252227783,0.04873102443566866,8
TSLA,2025-10-10,413.489990234375,233661,ML_ENSEMBLE,0.9666664217353693,2025-10-17,439.30999755859375,BACKTEST_END,6033128.731384277,0.06244409280520531,7
AMD,2025-10-10,214.89999389648438,169936,ML_ENSEMBLE,0.8758919637365361,2025-10-17,233.0800018310547,BACKTEST_END,3089437.8283691406,0.08459752652821144,7
