date,equity,cash,positions,cummax,drawdown
2025-09-15,68596.6030637088,16780.268770462233,2,68596.6030637088,0.0
2025-09-16,68680.52932330775,16780.268770462233,2,68680.52932330775,0.0
2025-09-17,68144.1859463247,22904.58089381577,2,68680.52932330775,-0.7809249320986856
2025-09-18,68960.46555643433,22904.58089381577,2,68960.46555643433,0.0
2025-09-19,69917.54231172545,21330.02836290617,2,69917.54231172545,0.0
2025-09-22,69367.15792945494,21330.02836290617,2,69917.54231172545,-0.7871906878772077
2025-09-23,66742.58111151781,21330.02836290617,2,69917.54231172545,-4.541008014915868
2025-09-24,68913.36849014793,21330.02836290617,2,69917.54231172545,-1.4362258574542626
2025-09-25,64579.74371522112,21330.02836290617,2,69917.54231172545,-7.634419660671001
2025-09-26,66646.55719424557,17736.81684437704,2,69917.54231172545,-4.678346820167512
2025-09-29,67898.11033242056,17736.81684437704,2,69917.54231172545,-2.8883051556665285
2025-09-30,69273.64373238388,17736.81684437704,2,69917.54231172545,-0.9209399501927191
2025-10-01,71048.77890288664,20163.268036090332,2,71048.77890288664,0.0
2025-10-02,68910.51155486522,20163.268036090332,2,71048.77890288664,-3.0095764924322137
2025-10-03,67914.64356326582,20163.268036090332,2,71048.77890288664,-4.411244483039916
2025-10-06,69939.15416198937,20163.268036090332,2,71048.77890288664,-1.5617787638742762
2025-10-07,67613.73574975062,20163.268036090332,2,71048.77890288664,-4.834767333343234
2025-10-08,69259.79522402058,20163.268036090332,2,71048.77890288664,-2.517965412623547
2025-10-09,69796.57958176282,20163.268036090332,2,71048.77890288664,-1.7624501651680595
2025-10-10,65004.836473477175,22122.972995475102,2,71048.77890288664,-8.506750605342079
2025-10-13,66635.8478968456,20211.785581467273,2,71048.77890288664,-6.211128571362037
2025-10-14,64886.17001587771,20211.785581467273,2,71048.77890288664,-8.673771713138548
2025-10-15,69178.26154388108,20211.785581467273,2,71048.77890288664,-2.6327227404742444
2025-10-16,68825.17306752322,20211.785581467273,2,71048.77890288664,-3.1296890244978885
2025-10-17,68869.53252716854,20211.785581467273,2,71048.77890288664,-3.067253806989152
